id,owner
0,"Duke of Portland"
1,"Earl Howe"
2,"G. G. Vernon Harcourt, Esq"
3,"Dr. B. G. Babington"
4,"Lord Hatherton"
5,"Lord Lyttelton"
6,"John W. Brett, Esq"
7,"Earl of Stamford and Warrington"
8,"H. R. Willett, Esq"
9,"Earl Spencer"
10,"Hon E. Phipps"
11,"J.H. Anderson, Esq"
12,"Lord Feversham"
13,"Royal Society"
14,"Earl of Ellesmere"
15,"John Murray, Esq"
16,"Foundling Hospital"
17,"J. Howard Galton, Esq"
18,"Royal Academy"
19,"Earl of Dartmouth"
20,"Duke of Newcastle"
21,"Wynn Ellis, Eqs"
22,"Eton College"
23,"Sir W. W. Wynn, Bart"
24,"Tate"
25,"Christie's"
26,"Edward Loyd, Esq."
27,"J. W. Russell, Esq"
28,"E. Loyd, Esq"
29,"W. Entwisle, Esq"
30,"Christ Church, Oxford"
31,"J. Tollemache, Esq"
32,"Earl of Durham"
33,"Lord Overstone"
34,"Adam Lodge, Esq"
35,"T. P. Smyth, Esq"
36,"General C. R. Fox"
37,"Miss Burdett Coutts"
38,"National Portrait Gallery"
39,"English Heritage"
40,"J. G. Frith, Esq"
41,"Sir G. Beaumont"
42,"Earl of Feversham"
43,"Abraham Darby, Esq"
44,"Earl of Darnley"
45,"Earl of Warwick"
46,"Earl of Yarborough"
47,"Marquis of Westminister"
48,"Duke of Buccleuch"
49,"Mrs Mair"
50,"Earl Fitzwilliam"
51,"Thomas Todd, Esq"
52,"Sir P. M. de Grey Egerton"
53,"Duke of Richmond"
54,"Lord Belper"
55,"Sir H. Wilmot"
56,"Lord de Tabley"
57,"Sir J. P. Baileau, Bart"
58,"National Galleries Scotland"
59,"Nathanial C. Sears"
60,"Dr. Alfred Bader"
61,"Milwaukee Art Center"
62,"Agnes Etherington Art Centre"
63,"Waddesdon"
64,"E. G. Martin, Esq"
65,"R. Twining, Esq"
66,"Samuel Barton, Esq"
67,"Rev. Chancellor Thurlow"
68,"Earl of Carlisle"
69,"Ambrose Love, Esq"
70,"C Wentworth Dilke, Esq"
71,"George Combe, Esq"
72,"Birmingham Museum and Art Gallery"
73,"John Garland, Esq"
74,"Lord Lyndhurst"
75,"Christ's Hospital"
76,"Queen Victoria"
77,"John Hick, Esq"
78,"Blakeslee Galleries"
79,"Corcoran Gallery of Art"
80,"Crystal Bridges Museum of American Art"
81,"Baron Ferdinand de Rothschild"
82,"Alice de Rothschild"
83,"James de Rothschild"
84,"Waddesdon The Rothschild Collection (The National Trust)"
85,"Earl of Derby"
86,"F. Pigou, Esq"
87,"Walker Art Gallery"
88,"Bonamy Dobree, Jun., Eqs"
89,"Richard Hemming, Esq"
90,"Bury Art Museum"
91,"John Graham, Esq"
92,"A. Dennistown, Esq"
93,"R. Hemming Esq"
94,"J. Tennant, Esq"
95,"Christopher Bushell, Esq"
96,"William Fairbairn, Esq"
97,"John Dillon, Esq"
98,"Rev. F. Leicester"
99,"Henry E. Huntington"
100,"The Huntington"
101,"Robt. Graham, Esq"
102,"Manchester Royal Institution"
103,"Manchester Art Gallery"
104,"Lord Wharncliffe"
105,"Earl of Sheffield"
106,"Barber Institute"
